numExamplesUsed	epoch	AUC	score	condition
14088587	0	0.966639	0.278450	V25
28177174	1	0.968091	0.268638	V25
42265761	2	0.968668	0.249490	V25
56354348	3	0.969206	0.249698	V25
70442935	4	0.969356	0.251903	V25
84531522	5	0.969460	0.258899	V25
98620109	6	0.969905	0.247622	V25
112708696	7	0.970021	0.262108	V25
126797283	8	0.970208	0.253189	V25
140885870	9	0.970343	0.241305	V25
154974457	10	0.970370	0.235280	V25
169063044	11	0.970447	0.251377	V25
183151631	12	0.970645	0.240834	V25
197240218	13	0.970657	0.232402	V25
211328805	14	0.970765	0.227364	V25
225417392	15	0.970832	0.228963	V25
239505979	16	0.970912	0.228682	V25
281771740	19	0.970990	0.226133	V25
309948914	21	0.971032	0.215293	V25
338126088	23	0.971263	0.213906	V25
380391849	26	0.971275	0.211271	V25
535366306	37	0.971279	0.208616	V25
549454893	38	0.971285	0.201561	V25
