numExamplesUsed	epoch	AUC	score	condition
14088587	0	0.966639	0.278450	V25
28177174	1	0.968091	0.268638	V25
42265761	2	0.968668	0.249490	V25
56354348	3	0.969206	0.249698	V25
70442935	4	0.969356	0.251903	V25
84531522	5	0.969460	0.258899	V25
98620109	6	0.969905	0.247622	V25
112708696	7	0.970021	0.262108	V25
126797283	8	0.970208	0.253189	V25
140885870	9	0.970343	0.241305	V25
154974457	10	0.970370	0.235280	V25
169063044	11	0.970447	0.251377	V25
183151631	12	0.970645	0.240834	V25
197240218	13	0.970657	0.232402	V25
211328805	14	0.970765	0.227364	V25
225417392	15	0.970832	0.228963	V25
239505979	16	0.970912	0.228682	V25
253594566	17	0.970833	0.220118	V25
267683153	18	0.970864	0.222405	V25
281771740	19	0.970990	0.226133	V25
295860327	20	0.970867	0.217111	V25
309948914	21	0.971032	0.215293	V25
324037501	22	0.970952	0.222125	V25
338126088	23	0.971263	0.213906	V25
352214675	24	0.971166	0.216289	V25
366303262	25	0.971183	0.213875	V25
380391849	26	0.971275	0.211271	V25
394480436	27	0.971254	0.215645	V25
408569023	28	0.971072	0.211194	V25
422657610	29	0.971043	0.209590	V25
436746197	30	0.971084	0.209662	V25
450834784	31	0.971179	0.204321	V25
464923371	32	0.971265	0.205482	V25
479011958	33	0.971158	0.206488	V25
493100545	34	0.971189	0.208622	V25
507189132	35	0.971207	0.207870	V25
521277719	36	0.971140	0.207093	V25
535366306	37	0.971279	0.208616	V25
549454893	38	0.971285	0.201561	V25
563543480	39	0.971210	0.198781	V25
577632067	40	0.971202	0.201999	V25
591720654	41	0.971115	0.198865	V25
605809241	42	0.971012	0.202764	V25
619897828	43	0.971019	0.199605	V25
633986415	44	0.971178	0.200727	V25
648075002	45	0.971166	0.196862	V25
662163589	46	0.970920	0.198669	V25
676252176	47	0.970985	0.200828	V25
690340763	48	0.971090	0.193610	V25
704429350	49	0.971039	0.196969	V25
