numExamplesUsed	epoch	AUC	score	condition
37920	0	0.945868	0.053253	V25
75840	1	0.961950	0.048409	V25
113760	2	0.970266	0.045798	V25
151680	3	0.976327	0.041272	V25
189600	4	0.979990	0.042247	V25
227520	5	0.982141	0.036237	V25
265440	6	0.983800	0.035160	V25
303360	7	0.984880	0.030614	V25
341280	8	0.985357	0.028094	V25
379200	9	0.985520	0.033289	V25
417120	10	0.985722	0.027898	V25
455040	11	0.986043	0.031506	V25
492960	12	0.986195	0.028929	V25
568800	14	0.986356	0.030875	V25
606720	15	0.987057	0.027316	V25
644640	16	0.987326	0.027709	V25
834240	21	0.987463	0.027163	V25
910080	23	0.987501	0.030306	V25
948000	24	0.987882	0.025503	V25
1023840	26	0.987890	0.025685	V25
1061760	27	0.988010	0.025131	V25
1099680	28	0.988346	0.022897	V25
1175520	30	0.988449	0.026297	V25
1289280	33	0.988588	0.023645	V25
1327200	34	0.988684	0.034380	V25
1365120	35	0.988730	0.024927	V25
1403040	36	0.988771	0.023810	V25
1440960	37	0.989052	0.028632	V25
1516800	39	0.989247	0.029928	V25
1706400	44	0.989425	0.022482	V25
1782240	46	0.989662	0.025683	V25
1858080	48	0.989915	0.027553	V25
1971840	51	0.989949	0.026061	V25
2047680	53	0.990019	0.022557	V25
2085600	54	0.990147	0.023673	V25
2199360	57	0.990172	0.029622	V25
2237280	58	0.990177	0.027578	V25
2275200	59	0.990241	0.024684	V25
2313120	60	0.990261	0.025178	V25
2426880	63	0.990329	0.030389	V25
2578560	67	0.990362	0.021845	V25
