numExamplesUsed	epoch	AUC	score	condition
37920	0	0.945868	0.053253	V25
75840	1	0.961950	0.048409	V25
113760	2	0.970266	0.045798	V25
151680	3	0.976327	0.041272	V25
189600	4	0.979990	0.042247	V25
227520	5	0.982141	0.036237	V25
265440	6	0.983800	0.035160	V25
303360	7	0.984880	0.030614	V25
341280	8	0.985357	0.028094	V25
379200	9	0.985520	0.033289	V25
417120	10	0.985722	0.027898	V25
455040	11	0.986043	0.031506	V25
492960	12	0.986195	0.028929	V25
530880	13	0.986156	0.030438	V25
568800	14	0.986356	0.030875	V25
606720	15	0.987057	0.027316	V25
644640	16	0.987326	0.027709	V25
682560	17	0.987087	0.028697	V25
720480	18	0.987101	0.026297	V25
758400	19	0.986981	0.032994	V25
796320	20	0.987184	0.026375	V25
834240	21	0.987463	0.027163	V25
872160	22	0.987422	0.026949	V25
910080	23	0.987501	0.030306	V25
948000	24	0.987882	0.025503	V25
985920	25	0.987776	0.026940	V25
1023840	26	0.987890	0.025685	V25
1061760	27	0.988010	0.025131	V25
1099680	28	0.988346	0.022897	V25
1137600	29	0.988308	0.029175	V25
1175520	30	0.988449	0.026297	V25
1213440	31	0.988024	0.027613	V25
1251360	32	0.988202	0.025459	V25
1289280	33	0.988588	0.023645	V25
1327200	34	0.988684	0.034380	V25
1365120	35	0.988730	0.024927	V25
1403040	36	0.988771	0.023810	V25
1440960	37	0.989052	0.028632	V25
1478880	38	0.988965	0.025671	V25
1516800	39	0.989247	0.029928	V25
1554720	40	0.989042	0.027948	V25
1592640	41	0.989209	0.026584	V25
1630560	42	0.989096	0.033211	V25
1668480	43	0.989091	0.025961	V25
1706400	44	0.989425	0.022482	V25
1744320	45	0.989312	0.028074	V25
1782240	46	0.989662	0.025683	V25
1820160	47	0.989596	0.029047	V25
1858080	48	0.989915	0.027553	V25
1896000	49	0.989889	0.025231	V25
1933920	50	0.989850	0.028798	V25
1971840	51	0.989949	0.026061	V25
2009760	52	0.989919	0.025242	V25
2047680	53	0.990019	0.022557	V25
2085600	54	0.990147	0.023673	V25
2123520	55	0.990021	0.026521	V25
2161440	56	0.990145	0.027981	V25
2199360	57	0.990172	0.029622	V25
2237280	58	0.990177	0.027578	V25
2275200	59	0.990241	0.024684	V25
2313120	60	0.990261	0.025178	V25
2351040	61	0.990155	0.025683	V25
2388960	62	0.989987	0.028991	V25
2426880	63	0.990329	0.030389	V25
2464800	64	0.989889	0.029973	V25
2502720	65	0.990323	0.023326	V25
2540640	66	0.990143	0.028099	V25
2578560	67	0.990362	0.021845	V25
2616480	68	0.990290	0.025190	V25
2654400	69	0.990089	0.024507	V25
2692320	70	0.990057	0.027199	V25
2730240	71	0.990236	0.026769	V25
2768160	72	0.990075	0.023817	V25
2806080	73	0.990203	0.024958	V25
2844000	74	0.990109	0.023180	V25
2881920	75	0.990267	0.032240	V25
2919840	76	0.990107	0.025140	V25
2957760	77	0.990315	0.025374	V25
2995680	78	0.990209	0.024708	V25
