numExamplesUsed	epoch	score	AUC	condition
2776689	0	NaN	0.993583	duo_regularization
5553378	1	NaN	0.994113	duo_regularization
8330067	2	NaN	0.994371	duo_regularization
11106756	3	NaN	0.994558	duo_regularization
13883445	4	NaN	0.994686	duo_regularization
16660134	5	NaN	0.994784	duo_regularization
19436823	6	NaN	0.994882	duo_regularization
22213512	7	NaN	0.994960	duo_regularization
24990201	8	NaN	0.995015	duo_regularization
27766890	9	NaN	0.995059	duo_regularization
30543579	10	NaN	0.995101	duo_regularization
33320268	11	NaN	0.995133	duo_regularization
36096957	12	NaN	0.995169	duo_regularization
38873646	13	NaN	0.995193	duo_regularization
41650335	14	NaN	0.995226	duo_regularization
44427024	15	NaN	0.995265	duo_regularization
47203713	16	NaN	0.995290	duo_regularization
49980402	17	NaN	0.995321	duo_regularization
52757091	18	NaN	0.995346	duo_regularization
55533780	19	NaN	0.995362	duo_regularization
58310469	20	NaN	0.995382	duo_regularization
61087158	21	NaN	0.995400	duo_regularization
63863847	22	NaN	0.995417	duo_regularization
66640536	23	NaN	0.995433	duo_regularization
69417225	24	NaN	0.995447	duo_regularization
72193914	25	NaN	0.995463	duo_regularization
74970603	26	NaN	0.995475	duo_regularization
77747292	27	NaN	0.995486	duo_regularization
80523981	28	NaN	0.995497	duo_regularization
83300670	29	NaN	0.995511	duo_regularization
86077359	30	NaN	0.995524	duo_regularization
88854048	31	NaN	0.995534	duo_regularization
91630737	32	NaN	0.995540	duo_regularization
94407426	33	NaN	0.995553	duo_regularization
97184115	34	NaN	0.995562	duo_regularization
99960804	35	NaN	0.995569	duo_regularization
102737493	36	NaN	0.995580	duo_regularization
105514182	37	NaN	0.995589	duo_regularization
108290871	38	NaN	0.995598	duo_regularization
111067560	39	NaN	0.995611	duo_regularization
113844249	40	NaN	0.995623	duo_regularization
116620938	41	NaN	0.995630	duo_regularization
119397627	42	NaN	0.995641	duo_regularization
122174316	43	NaN	0.995648	duo_regularization
124951005	44	NaN	0.995656	duo_regularization
127727694	45	NaN	0.995663	duo_regularization
