numExamplesUsed	epoch	score	AUC	condition
8159893	0	0.208113	0.964543	RNA-Seq Goby
16319786	1	0.208113	0.966509	RNA-Seq Goby
24479679	2	0.192619	0.967358	RNA-Seq Goby
32639572	3	0.192619	0.967906	RNA-Seq Goby
40799465	4	0.192619	0.968273	RNA-Seq Goby
48959358	5	0.192619	0.968548	RNA-Seq Goby
57119251	6	0.192619	0.968834	RNA-Seq Goby
65279144	7	0.192619	0.969056	RNA-Seq Goby
73439037	8	0.192619	0.969252	RNA-Seq Goby
81598930	9	0.192619	0.969449	RNA-Seq Goby
89758823	10	0.192619	0.969599	RNA-Seq Goby
97918716	11	0.192619	0.969727	RNA-Seq Goby
106078609	12	0.182917	0.969873	RNA-Seq Goby
114238502	13	0.182917	0.970001	RNA-Seq Goby
122398395	14	0.182917	0.970109	RNA-Seq Goby
130558288	15	0.182917	0.970186	RNA-Seq Goby
138718181	16	0.182917	0.970251	RNA-Seq Goby
146878074	17	0.182917	0.970326	RNA-Seq Goby
155037967	18	0.182917	0.970390	RNA-Seq Goby
163197860	19	0.182917	0.970454	RNA-Seq Goby
171357753	20	0.182917	0.970502	RNA-Seq Goby
179517646	21	0.182917	0.970560	RNA-Seq Goby
187677539	22	0.182917	0.970614	RNA-Seq Goby
195837432	23	0.182917	0.970653	RNA-Seq Goby
203997325	24	0.182917	0.970707	RNA-Seq Goby
212157218	25	0.182917	0.970750	RNA-Seq Goby
220317111	26	0.182917	0.970792	RNA-Seq Goby
228477004	27	0.182917	0.970846	RNA-Seq Goby
236636897	28	0.182917	0.970889	RNA-Seq Goby
244796790	29	0.182917	0.970943	RNA-Seq Goby
252956683	30	0.182917	0.970988	RNA-Seq Goby
261116576	31	0.182917	0.971025	RNA-Seq Goby
269276469	32	0.182917	0.971067	RNA-Seq Goby
277436362	33	0.182917	0.971112	RNA-Seq Goby
285596255	34	0.182917	0.971156	RNA-Seq Goby
293756148	35	0.182917	0.971211	RNA-Seq Goby
301916041	36	0.182917	0.971252	RNA-Seq Goby
310075934	37	0.182917	0.971291	RNA-Seq Goby
318235827	38	0.182917	0.971332	RNA-Seq Goby
326395720	39	0.182917	0.971369	RNA-Seq Goby
334555613	40	0.182917	0.971396	RNA-Seq Goby
342715506	41	0.182917	0.971429	RNA-Seq Goby
350875399	42	0.182917	0.971465	RNA-Seq Goby
359035292	43	0.182917	0.971502	RNA-Seq Goby
367195185	44	0.182917	0.971536	RNA-Seq Goby
375355078	45	0.182917	0.971562	RNA-Seq Goby
383514971	46	0.182917	0.971594	RNA-Seq Goby
391674864	47	0.182917	0.971624	RNA-Seq Goby
399834757	48	0.182917	0.971655	RNA-Seq Goby
407994650	49	0.182917	0.971683	RNA-Seq Goby
416154543	50	0.182917	0.971712	RNA-Seq Goby
424314436	51	0.182917	0.971736	RNA-Seq Goby
432474329	52	0.182917	0.971760	RNA-Seq Goby
440634222	53	0.182917	0.971790	RNA-Seq Goby
448794115	54	0.182917	0.971817	RNA-Seq Goby
456954008	55	0.182917	0.971842	RNA-Seq Goby
465113901	56	0.182917	0.971872	RNA-Seq Goby
473273794	57	0.182917	0.971897	RNA-Seq Goby
481433687	58	0.182917	0.971922	RNA-Seq Goby
489593580	59	0.182917	0.971945	RNA-Seq Goby
497753473	60	0.182917	0.971969	RNA-Seq Goby
505913366	61	0.182917	0.971990	RNA-Seq Goby
514073259	62	0.182917	0.972013	RNA-Seq Goby
522233152	63	0.182917	0.972039	RNA-Seq Goby
530393045	64	0.182917	0.972069	RNA-Seq Goby
538552938	65	0.182917	0.972094	RNA-Seq Goby
546712831	66	0.182917	0.972121	RNA-Seq Goby
554872724	67	0.182917	0.972152	RNA-Seq Goby
563032617	68	0.182917	0.972180	RNA-Seq Goby
571192510	69	0.182917	0.972209	RNA-Seq Goby
579352403	70	0.182917	0.972232	RNA-Seq Goby
587512296	71	0.182917	0.972256	RNA-Seq Goby
595672189	72	0.182917	0.972280	RNA-Seq Goby
603832082	73	0.182917	0.972305	RNA-Seq Goby
611991975	74	0.182917	0.972334	RNA-Seq Goby
620151868	75	0.182917	0.972360	RNA-Seq Goby
628311761	76	0.182917	0.972386	RNA-Seq Goby
636471654	77	0.182917	0.972406	RNA-Seq Goby
644631547	78	0.182917	0.972432	RNA-Seq Goby
652791440	79	0.182917	0.972453	RNA-Seq Goby
660951333	80	0.182917	0.972473	RNA-Seq Goby
669111226	81	0.182917	0.972493	RNA-Seq Goby
677271119	82	0.182917	0.972514	RNA-Seq Goby
685431012	83	0.182917	0.972528	RNA-Seq Goby
693590905	84	0.182917	0.972544	RNA-Seq Goby
701750798	85	0.182917	0.972566	RNA-Seq Goby
709910691	86	0.182917	0.972577	RNA-Seq Goby
718070584	87	0.182917	0.972597	RNA-Seq Goby
726230477	88	0.182917	0.972613	RNA-Seq Goby
734390370	89	0.182917	0.972629	RNA-Seq Goby
742550263	90	0.182917	0.972646	RNA-Seq Goby
750710156	91	0.182917	0.972661	RNA-Seq Goby
758870049	92	0.182917	0.972679	RNA-Seq Goby
767029942	93	0.182917	0.972695	RNA-Seq Goby
775189835	94	0.182917	0.972714	RNA-Seq Goby
783349728	95	0.182917	0.972723	RNA-Seq Goby
791509621	96	0.182917	0.972737	RNA-Seq Goby
799669514	97	0.182917	0.972749	RNA-Seq Goby
807829407	98	0.182917	0.972758	RNA-Seq Goby
815989300	99	0.182917	0.972771	RNA-Seq Goby
824149193	100	0.182917	0.972782	RNA-Seq Goby
832309086	101	0.182917	0.972794	RNA-Seq Goby
840468979	102	0.182917	0.972806	RNA-Seq Goby
848628872	103	0.182917	0.972816	RNA-Seq Goby
856788765	104	0.182917	0.972832	RNA-Seq Goby
864948658	105	0.182917	0.972848	RNA-Seq Goby
873108551	106	0.182917	0.972857	RNA-Seq Goby
881268444	107	0.182917	0.972868	RNA-Seq Goby
889428337	108	0.182917	0.972882	RNA-Seq Goby
897588230	109	0.182917	0.972894	RNA-Seq Goby
905748123	110	0.182917	0.972906	RNA-Seq Goby
913908016	111	0.182917	0.972916	RNA-Seq Goby
922067909	112	0.182917	0.972925	RNA-Seq Goby
930227802	113	0.182917	0.972933	RNA-Seq Goby
938387695	114	0.182917	0.972947	RNA-Seq Goby
946547588	115	0.182917	0.972956	RNA-Seq Goby
954707481	116	0.182917	0.972965	RNA-Seq Goby
962867374	117	0.182917	0.972975	RNA-Seq Goby
971027267	118	0.182917	0.972985	RNA-Seq Goby
979187160	119	0.182917	0.972996	RNA-Seq Goby
987347053	120	0.182917	0.973007	RNA-Seq Goby
995506946	121	0.182917	0.973020	RNA-Seq Goby
1003666839	122	0.182917	0.973025	RNA-Seq Goby
1011826732	123	0.182917	0.973031	RNA-Seq Goby
1019986625	124	0.182917	0.973040	RNA-Seq Goby
1028146518	125	0.182917	0.973044	RNA-Seq Goby
1036306411	126	0.182917	0.973049	RNA-Seq Goby
1044466304	127	0.182917	0.973060	RNA-Seq Goby
1052626197	128	0.182917	0.973067	RNA-Seq Goby
1060786090	129	0.182917	0.973073	RNA-Seq Goby
1068945983	130	0.182917	0.973085	RNA-Seq Goby
1077105876	131	0.182917	0.973095	RNA-Seq Goby
1085265769	132	0.182917	0.973100	RNA-Seq Goby
1093425662	133	0.182917	0.973106	RNA-Seq Goby
1101585555	134	0.182917	0.973111	RNA-Seq Goby
1109745448	135	0.182917	0.973120	RNA-Seq Goby
1117905341	136	0.182917	0.973127	RNA-Seq Goby
1126065234	137	0.182917	0.973135	RNA-Seq Goby
1134225127	138	0.182917	0.973140	RNA-Seq Goby
1142385020	139	0.182917	0.973151	RNA-Seq Goby
1150544913	140	0.182917	0.973155	RNA-Seq Goby
1158704806	141	0.182917	0.973163	RNA-Seq Goby
1166864699	142	0.182917	0.973171	RNA-Seq Goby
1175024592	143	0.182917	0.973178	RNA-Seq Goby
1183184485	144	0.182917	0.973186	RNA-Seq Goby
1191344378	145	0.182917	0.973194	RNA-Seq Goby
1199504271	146	0.182917	0.973201	RNA-Seq Goby
1207664164	147	0.182917	0.973208	RNA-Seq Goby
1215824057	148	0.182917	0.973216	RNA-Seq Goby
1223983950	149	0.182917	0.973218	RNA-Seq Goby
1232143843	150	0.182917	0.973226	RNA-Seq Goby
1240303736	151	0.182917	0.973232	RNA-Seq Goby
1248463629	152	0.182917	0.973242	RNA-Seq Goby
1256623522	153	0.182917	0.973248	RNA-Seq Goby
1264783415	154	0.182917	0.973254	RNA-Seq Goby
1272943308	155	0.182917	0.973263	RNA-Seq Goby
1281103201	156	0.182917	0.973269	RNA-Seq Goby
1289263094	157	0.182917	0.973277	RNA-Seq Goby
1297422987	158	0.182917	0.973291	RNA-Seq Goby
1305582880	159	0.182917	0.973293	RNA-Seq Goby
1313742773	160	0.182917	0.973300	RNA-Seq Goby
1321902666	161	0.182917	0.973309	RNA-Seq Goby
1330062559	162	0.182917	0.973314	RNA-Seq Goby
1338222452	163	0.182917	0.973323	RNA-Seq Goby
1346382345	164	0.182917	0.973330	RNA-Seq Goby
1354542238	165	0.182917	0.973335	RNA-Seq Goby
1362702131	166	0.182917	0.973345	RNA-Seq Goby
1370862024	167	0.182917	0.973351	RNA-Seq Goby
1379021917	168	0.182917	0.973356	RNA-Seq Goby
1387181810	169	0.182917	0.973364	RNA-Seq Goby
1395341703	170	0.182917	0.973371	RNA-Seq Goby
1403501596	171	0.182917	0.973378	RNA-Seq Goby
1411661489	172	0.182917	0.973385	RNA-Seq Goby
1419821382	173	0.182917	0.973392	RNA-Seq Goby
1427981275	174	0.182917	0.973401	RNA-Seq Goby
1436141168	175	0.182917	0.973405	RNA-Seq Goby
1444301061	176	0.182917	0.973410	RNA-Seq Goby
1452460954	177	0.182917	0.973416	RNA-Seq Goby
1460620847	178	0.182917	0.973424	RNA-Seq Goby
1468780740	179	0.182917	0.973429	RNA-Seq Goby
1476940633	180	0.182917	0.973436	RNA-Seq Goby
1485100526	181	0.182917	0.973439	RNA-Seq Goby
1493260419	182	0.182917	0.973447	RNA-Seq Goby
1501420312	183	0.182917	0.973455	RNA-Seq Goby
1509580205	184	0.182917	0.973463	RNA-Seq Goby
1517740098	185	0.182917	0.973471	RNA-Seq Goby
1525899991	186	0.182917	0.973474	RNA-Seq Goby
1534059884	187	0.182917	0.973483	RNA-Seq Goby
1542219777	188	0.182917	0.973491	RNA-Seq Goby
1550379670	189	0.182917	0.973494	RNA-Seq Goby
1558539563	190	0.182917	0.973499	RNA-Seq Goby
1566699456	191	0.182917	0.973506	RNA-Seq Goby
1574859349	192	0.182917	0.973513	RNA-Seq Goby
1583019242	193	0.182917	0.973519	RNA-Seq Goby
1591179135	194	0.182917	0.973528	RNA-Seq Goby
1599339028	195	0.182917	0.973533	RNA-Seq Goby
1607498921	196	0.182917	0.973540	RNA-Seq Goby
1615658814	197	0.182917	0.973545	RNA-Seq Goby
1623818707	198	0.182917	0.973549	RNA-Seq Goby
1631978600	199	0.182917	0.973555	RNA-Seq Goby
1640138493	200	0.182917	0.973560	RNA-Seq Goby
1648298386	201	0.182917	0.973566	RNA-Seq Goby
1656458279	202	0.182917	0.973574	RNA-Seq Goby
1664618172	203	0.182917	0.973580	RNA-Seq Goby
1672778065	204	0.182917	0.973585	RNA-Seq Goby
1680937958	205	0.182917	0.973589	RNA-Seq Goby
1689097851	206	0.182917	0.973596	RNA-Seq Goby
1697257744	207	0.182917	0.973601	RNA-Seq Goby
