numExamplesUsed	epoch	score	AUC	condition
8159893	0	NaN	0.964543	RNA-Seq Goby
16319786	1	NaN	0.966509	RNA-Seq Goby
24479679	2	NaN	0.967358	RNA-Seq Goby
32639572	3	NaN	0.967906	RNA-Seq Goby
40799465	4	NaN	0.968273	RNA-Seq Goby
48959358	5	NaN	0.968548	RNA-Seq Goby
57119251	6	NaN	0.968834	RNA-Seq Goby
65279144	7	NaN	0.969056	RNA-Seq Goby
73439037	8	NaN	0.969252	RNA-Seq Goby
81598930	9	NaN	0.969449	RNA-Seq Goby
89758823	10	NaN	0.969599	RNA-Seq Goby
97918716	11	NaN	0.969727	RNA-Seq Goby
106078609	12	NaN	0.969873	RNA-Seq Goby
114238502	13	NaN	0.970001	RNA-Seq Goby
122398395	14	NaN	0.970109	RNA-Seq Goby
130558288	15	NaN	0.970186	RNA-Seq Goby
138718181	16	NaN	0.970251	RNA-Seq Goby
146878074	17	NaN	0.970326	RNA-Seq Goby
155037967	18	NaN	0.970390	RNA-Seq Goby
163197860	19	NaN	0.970454	RNA-Seq Goby
171357753	20	NaN	0.970502	RNA-Seq Goby
179517646	21	NaN	0.970560	RNA-Seq Goby
187677539	22	NaN	0.970614	RNA-Seq Goby
195837432	23	NaN	0.970653	RNA-Seq Goby
203997325	24	NaN	0.970707	RNA-Seq Goby
212157218	25	NaN	0.970750	RNA-Seq Goby
220317111	26	NaN	0.970792	RNA-Seq Goby
228477004	27	NaN	0.970846	RNA-Seq Goby
236636897	28	NaN	0.970889	RNA-Seq Goby
244796790	29	NaN	0.970943	RNA-Seq Goby
252956683	30	NaN	0.970988	RNA-Seq Goby
261116576	31	NaN	0.971025	RNA-Seq Goby
269276469	32	NaN	0.971067	RNA-Seq Goby
277436362	33	NaN	0.971112	RNA-Seq Goby
285596255	34	NaN	0.971156	RNA-Seq Goby
293756148	35	NaN	0.971211	RNA-Seq Goby
301916041	36	NaN	0.971252	RNA-Seq Goby
310075934	37	NaN	0.971291	RNA-Seq Goby
318235827	38	NaN	0.971332	RNA-Seq Goby
326395720	39	NaN	0.971369	RNA-Seq Goby
334555613	40	NaN	0.971396	RNA-Seq Goby
342715506	41	NaN	0.971429	RNA-Seq Goby
350875399	42	NaN	0.971465	RNA-Seq Goby
359035292	43	NaN	0.971502	RNA-Seq Goby
367195185	44	NaN	0.971536	RNA-Seq Goby
