numExamplesUsed	epoch	AUC	score	condition
29999865	0	0.958776	1.214123	not_specified
59999730	1	0.960152	0.352008	not_specified
89999595	2	0.960039	0.000000	not_specified
119999460	3	0.961236	0.000000	not_specified
149999325	4	0.961227	0.000000	not_specified
179999190	5	0.960763	0.000000	not_specified
209999055	6	0.960910	0.000000	not_specified
239998920	7	0.961119	0.000000	not_specified
269998785	8	0.960547	0.000000	not_specified
299998650	9	0.960550	0.000000	not_specified
329998515	10	0.960876	0.000000	not_specified
359998380	11	0.960067	0.000000	not_specified
389998245	12	0.960328	0.000000	not_specified
419998110	13	0.959723	0.000000	not_specified
449997975	14	0.958992	0.000000	not_specified
