numExamplesUsed	epoch	score	AUC	condition
4487139	0	NaN	0.987647	trio_unstable_noregular
8974278	1	NaN	0.988377	trio_unstable_noregular
13461417	2	NaN	0.988764	trio_unstable_noregular
17948556	3	NaN	0.988994	trio_unstable_noregular
22435695	4	NaN	0.989125	trio_unstable_noregular
26922834	5	NaN	0.989224	trio_unstable_noregular
31409973	6	NaN	0.989306	trio_unstable_noregular
35897112	7	NaN	0.989368	trio_unstable_noregular
40384251	8	NaN	0.989345	trio_unstable_noregular
44871390	9	NaN	0.989392	trio_unstable_noregular
49358529	10	NaN	0.989443	trio_unstable_noregular
53845668	11	NaN	0.989476	trio_unstable_noregular
58332807	12	NaN	0.989520	trio_unstable_noregular
62819946	13	NaN	0.989551	trio_unstable_noregular
67307085	14	NaN	0.989555	trio_unstable_noregular
71794224	15	NaN	0.989558	trio_unstable_noregular
76281363	16	NaN	0.989574	trio_unstable_noregular
80768502	17	NaN	0.989598	trio_unstable_noregular
85255641	18	NaN	0.989610	trio_unstable_noregular
89742780	19	NaN	0.989625	trio_unstable_noregular
94229919	20	NaN	0.989626	trio_unstable_noregular
98717058	21	NaN	0.989647	trio_unstable_noregular
103204197	22	NaN	0.989665	trio_unstable_noregular
107691336	23	NaN	0.989662	trio_unstable_noregular
112178475	24	NaN	0.989664	trio_unstable_noregular
116665614	25	NaN	0.989676	trio_unstable_noregular
121152753	26	NaN	0.989688	trio_unstable_noregular
125639892	27	NaN	0.989705	trio_unstable_noregular
130127031	28	NaN	0.989704	trio_unstable_noregular
134614170	29	NaN	0.989697	trio_unstable_noregular
139101309	30	NaN	0.989706	trio_unstable_noregular
143588448	31	NaN	0.989707	trio_unstable_noregular
148075587	32	NaN	0.989712	trio_unstable_noregular
152562726	33	NaN	0.989714	trio_unstable_noregular
157049865	34	NaN	0.989726	trio_unstable_noregular
161537004	35	NaN	0.989727	trio_unstable_noregular
166024143	36	NaN	0.989727	trio_unstable_noregular
170511282	37	NaN	0.989726	trio_unstable_noregular
174998421	38	NaN	0.989727	trio_unstable_noregular
179485560	39	NaN	0.989731	trio_unstable_noregular
183972699	40	NaN	0.989735	trio_unstable_noregular
188459838	41	NaN	0.989736	trio_unstable_noregular
192946977	42	NaN	0.989741	trio_unstable_noregular
197434116	43	NaN	0.989738	trio_unstable_noregular
201921255	44	NaN	0.989748	trio_unstable_noregular
206408394	45	NaN	0.989757	trio_unstable_noregular
210895533	46	NaN	0.989760	trio_unstable_noregular
215382672	47	NaN	0.989762	trio_unstable_noregular
219869811	48	NaN	0.989767	trio_unstable_noregular
224356950	49	NaN	0.989767	trio_unstable_noregular
228844089	50	NaN	0.989764	trio_unstable_noregular
233331228	51	NaN	0.989773	trio_unstable_noregular
237818367	52	NaN	0.989776	trio_unstable_noregular
242305506	53	NaN	0.989774	trio_unstable_noregular
246792645	54	NaN	0.989772	trio_unstable_noregular
251279784	55	NaN	0.989775	trio_unstable_noregular
255766923	56	NaN	0.989773	trio_unstable_noregular
260254062	57	NaN	0.989776	trio_unstable_noregular
264741201	58	NaN	0.989772	trio_unstable_noregular
269228340	59	NaN	0.989780	trio_unstable_noregular
273715479	60	NaN	0.989781	trio_unstable_noregular
278202618	61	NaN	0.989768	trio_unstable_noregular
282689757	62	NaN	0.989770	trio_unstable_noregular
287176896	63	NaN	0.989776	trio_unstable_noregular
291664035	64	NaN	0.989782	trio_unstable_noregular
296151174	65	NaN	0.989786	trio_unstable_noregular
300638313	66	NaN	0.989784	trio_unstable_noregular
305125452	67	NaN	0.989782	trio_unstable_noregular
309612591	68	NaN	0.989786	trio_unstable_noregular
314099730	69	NaN	0.989788	trio_unstable_noregular
318586869	70	NaN	0.989791	trio_unstable_noregular
323074008	71	NaN	0.989793	trio_unstable_noregular
327561147	72	NaN	0.989795	trio_unstable_noregular
332048286	73	NaN	0.989795	trio_unstable_noregular
336535425	74	NaN	0.989799	trio_unstable_noregular
341022564	75	NaN	0.989804	trio_unstable_noregular
345509703	76	NaN	0.989806	trio_unstable_noregular
349996842	77	NaN	0.989809	trio_unstable_noregular
354483981	78	NaN	0.989811	trio_unstable_noregular
358971120	79	NaN	0.989816	trio_unstable_noregular
363458259	80	NaN	0.989816	trio_unstable_noregular
367945398	81	NaN	0.989820	trio_unstable_noregular
372432537	82	NaN	0.989822	trio_unstable_noregular
376919676	83	NaN	0.989827	trio_unstable_noregular
381406815	84	NaN	0.989827	trio_unstable_noregular
385893954	85	NaN	0.989831	trio_unstable_noregular
390381093	86	NaN	0.989835	trio_unstable_noregular
